BrichtaBOMBY 	1 : 6	 Poznamenaní
Enzo Absinthens 	9 : 2	 TJ SIGMA Rodeo
FC Žízeň 	7 : 7	 Tvoje máma
FK Traktor Vidlákov 	1 : 3	 Slavoj Nechvalice
JOGA BONITO 	1 : 10	 Tralalalala
PH Maséři Milevsko 	0 : 2	 Čápi
Srdcia východu 	1 : 5	 Zabijáci žraloků
Syčáci 	5 : 0	 Vakoveverky
Pod vlivem 	1 : 8	 Trblblblblb
AC Sons of Anarchy 	5 : 9	 Kriplovi hoši
Al-Budvar 	8 : 1	 Jaderný odpad
BrichtaBOMBY 	0 : 10	 Zhubni
FC Bubeneč 	0 : 3	 Sojka Velešín
FC Perros  	7 : 4	 JBC  team B
Heveraboys 	9 : 10	 JBC  team B
Heveraboys 	3 : 2	 Podlitiny
JBC  team B 	3 : 4	 TJ SIGMA Rodeo
SK Lab Rats 	10 : 10	 Sojka Velešín
Trblblblblb 	1 : 5	 Velký špatný
AC Sons of Anarchy 	4 : 10	 FC Prager Breunau
Peleho vnuci   	5 : 3	 TJ SIGMA Rodeo
Newton Club 	0 : 9	 Trblblblblb
Garfield Lasang 	4 : 0	 Pivopij
Enzo Absinthens 	10 : 3	 FC Prager Breunau
FC Výpitci Kroměříž 	3 : 10	 Usála Mi Úd
Syčáci 	10 : 5	 Usála Mi Úd
AC Sons of Anarchy 	2 : 9	 Jaderný odpad
FC Snědá Tíseň 	7 : 8	 Tvoje máma
Jaderný odpad 	1 : 7	 Kriplovi hoši
FC Alcoholtea 	5 : 6	 Jaderný odpad
Al-Budvar 	1 : 4	 FC Prager Breunau
FC Bubeneč 	8 : 7	 FC Snědá Tíseň
AC Gong CB 	7 : 7	 Srdcia východu
AC Milan 	7 : 8	 Syčáci
AC Sons of Anarchy 	4 : 9	 FC Alcoholtea
Barthaus FC 	5 : 0	 FC Žízeň
FC Alcoholtea 	1 : 2	 FC Prager Breunau
Newton Club 	3 : 4	 Pod vlivem
BrichtaBOMBY 	10 : 9	 FC BigHub
FC Bubeneč 	5 : 10	 Tvoje máma
Sedlčanská Náplavka 	4 : 7	 TJ Rapid Příkopy Muži
AC Milan 	9 : 2	 Ostré kulky
FC Snědá Tíseň 	5 : 0	 Slavoj Nechvalice
Heveraboys 	2 : 10	 JOGA BONITO
Sedlčanská Náplavka 	6 : 2	 Vakoveverky
LF2MED 	2 : 4	 Zhubni
Barthaus FC 	5 : 10	 Mistři teorie
AC Milan 	2 : 2	 Usála Mi Úd
FC Bubeneč 	1 : 2	 Srdcia východu
Enzo Absinthens 	9 : 5	 Newton Club
Jaderný odpad 	5 : 3	 Poznamenaní
Newton Club 	5 : 0	 Tralalalala
Podlitiny 	2 : 3	 tým je mlýn
Cortina extermina 	3 : 6	 Zabijáci žraloků
FC BigHub 	10 : 7	 JOGA BONITO
Heveraboys 	7 : 2	 tým je mlýn
Garfield Lasang 	5 : 6	 LF2MED
FC BigHub 	7 : 7	 FC Perros
Al-Budvar 	6 : 7	 Enzo Absinthens
Ostré kulky 	3 : 2	 Čápi
BrichtaBOMBY 	0 : 1	 FC Perros
Dopravka United 	3 : 8	 FC Výpitci Kroměříž
FC Alcoholtea 	4 : 9	 Kriplovi hoši
AC Gong CB 	2 : 1	 FC Snědá Tíseň
AC Sons of Anarchy 	3 : 8	 Al-Budvar
Cortina extermina 	7 : 9	 Newton Club
PH Maséři Milevsko 	4 : 0	 TJ SIGMA Rodeo
Peleho vnuci   	8 : 4	 Pivopij
Barthaus FC 	0 : 3	 Vakoveverky
PH Maséři Milevsko 	3 : 5	 Pivopij
FC Kouř a Pivo 	3 : 10	 Trblblblblb
LF2MED 	2 : 10	 PH Maséři Milevsko
Pod vlivem 	4 : 4	 Velký špatný
FC Žízeň 	3 : 0	 Syčáci
Ostré kulky 	10 : 9	 Syčáci
Barthaus FC 	7 : 2	 Real z Wishe
FC Snědá Tíseň 	5 : 0	 Syčáci
Barthaus FC 	1 : 6	 FC Brambor City
FC Prager Breunau 	10 : 10	 Poznamenaní
Al-Budvar 	6 : 2	 Kriplovi hoši
Kriplovi hoši 	9 : 2	 Poznamenaní
Al-Budvar 	4 : 9	 FC Alcoholtea
FC Brambor City 	8 : 10	 TJ Rapid Příkopy Muži
FC Snědá Tíseň 	6 : 7	 Srdcia východu
FC Výpitci Kroměříž 	2 : 8	 Syčáci
FK Traktor Vidlákov 	1 : 0	 Peleho vnuci
Garfield Lasang 	10 : 7	 TJ SIGMA Rodeo
Barthaus FC 	9 : 9	 Sedlčanská Náplavka
Usála Mi Úd 	6 : 8	 Čápi
Cortina extermina 	2 : 3	 Tralalalala
Dopravka United 	8 : 0	 FC Žízeň
Tralalalala 	2 : 8	 Trblblblblb
Dutošvarcova korporace 	10 : 2	 Real z Wishe
FC Kouř a Pivo 	7 : 6	 Zabijáci žraloků
SK Lab Rats 	2 : 8	 Tvoje máma
Syčáci 	2 : 9	 Čápi
Tralalalala 	0 : 8	 Zabijáci žraloků
Cortina extermina 	8 : 6	 Pod vlivem
FC Výpitci Kroměříž 	10 : 9	 Čápi
AC Milan 	2 : 3	 Čápi
Dopravka United 	3 : 5	 Syčáci
FC BigHub 	3 : 6	 Heveraboys
FK Traktor Vidlákov 	5 : 1	 PH Maséři Milevsko
Ostré kulky 	4 : 10	 Slavoj Nechvalice
PH Maséři Milevsko 	0 : 7	 Peleho vnuci
Dopravka United 	4 : 0	 Čápi
BrichtaBOMBY 	0 : 5	 Podlitiny
FC Žízeň 	6 : 6	 Usála Mi Úd
Slavoj Nechvalice 	5 : 6	 Tvoje máma
BrichtaBOMBY 	3 : 1	 Heveraboys
Enzo Absinthens 	10 : 9	 Poznamenaní
Enzo Absinthens 	1 : 10	 Kriplovi hoši
FK Traktor Vidlákov 	2 : 6	 Pivopij
Newton Club 	4 : 1	 Velký špatný
Dutošvarcova korporace 	9 : 3	 Vakoveverky
Trblblblblb 	8 : 6	 Zabijáci žraloků
Al-Budvar 	10 : 0	 Čápi
Dutošvarcova korporace 	5 : 7	 FC Brambor City
FC Bubeneč 	5 : 10	 Slavoj Nechvalice
JOGA BONITO 	8 : 1	 Podlitiny
LF2MED 	9 : 1	 TJ SIGMA Rodeo
Pod vlivem 	0 : 6	 Tralalalala
AC Gong CB 	0 : 7	 JOGA BONITO
Dutošvarcova korporace 	6 : 7	 Sedlčanská Náplavka
JOGA BONITO 	8 : 6	 tým je mlýn
Real z Wishe 	7 : 10	 TJ Rapid Příkopy Muži
AC Gong CB 	0 : 3	 Slavoj Nechvalice
Cortina extermina 	2 : 9	 Trblblblblb
FC Bubeneč 	2 : 6	 SK Lab Rats
FC Žízeň 	4 : 4	 Ostré kulky
PH Maséři Milevsko 	2 : 4	 Zhubni
Real z Wishe 	6 : 4	 Sedlčanská Náplavka
SK Lab Rats 	2 : 6	 Srdcia východu
TJ SIGMA Rodeo 	10 : 2	 Zhubni
Barthaus FC 	7 : 7	 TJ Rapid Příkopy Muži
FC Kouř a Pivo 	2 : 3	 Newton Club
FC Výpitci Kroměříž 	3 : 10	 FC Žízeň
SK Lab Rats 	8 : 10	 Slavoj Nechvalice
FC Brambor City 	3 : 6	 Vakoveverky
Real z Wishe 	2 : 10	 Vakoveverky
FC Prager Breunau 	4 : 0	 Kriplovi hoši
Cortina extermina 	1 : 6	 Velký špatný
FC Prager Breunau 	7 : 6	 Jaderný odpad
Enzo Absinthens 	8 : 2	 Jaderný odpad
AC Milan 	3 : 0	 Tvoje máma
BrichtaBOMBY 	9 : 4	 JBC  team B
Cortina extermina 	4 : 10	 FC Kouř a Pivo
FC BigHub 	4 : 3	 JBC  team B
FK Traktor Vidlákov 	5 : 0	 Zhubni
Pod vlivem 	10 : 8	 Zabijáci žraloků
Dopravka United 	2 : 3	 Ostré kulky
Enzo Absinthens 	6 : 10	 FC Alcoholtea
FC Kouř a Pivo 	1 : 10	 Pod vlivem
FC Kouř a Pivo 	2 : 10	 Velký špatný
Garfield Lasang 	4 : 5	 Zhubni
Dopravka United 	4 : 10	 Usála Mi Úd
FC BigHub 	8 : 8	 tým je mlýn
TJ Rapid Příkopy Muži 	10 : 1	 Vakoveverky
AC Gong CB 	8 : 4	 SK Lab Rats
AC Gong CB 	9 : 4	 Sojka Velešín
FC Snědá Tíseň 	1 : 2	 Sojka Velešín
JBC  team B 	5 : 5	 Podlitiny
Pivopij 	8 : 2	 Vakoveverky
Slavoj Nechvalice 	5 : 9	 Sojka Velešín
Sojka Velešín 	1 : 4	 Srdcia východu
Sojka Velešín 	6 : 4	 Tvoje máma
FC Kouř a Pivo 	6 : 6	 Tralalalala
AC Gong CB 	4 : 10	 FC Bubeneč
Al-Budvar 	10 : 0	 Poznamenaní
FC Brambor City 	6 : 9	 Mistři teorie
Mistři teorie 	0 : 3	 Sedlčanská Náplavka
Mistři teorie 	0 : 8	 Srdcia východu
FC Alcoholtea 	8 : 9	 Zabijáci žraloků
FK Traktor Vidlákov 	2 : 2	 Garfield Lasang
Garfield Lasang 	0 : 3	 PH Maséři Milevsko
JBC  team B 	5 : 9	 tým je mlýn
Pod vlivem 	3 : 1	 Poznamenaní
AC Milan 	4 : 10	 FC Výpitci Kroměříž
Pivopij 	8 : 8	 Zhubni
Srdcia východu 	7 : 10	 Tvoje máma
JBC  team B 	7 : 6	 JOGA BONITO
LF2MED 	8 : 9	 Pivopij
Slavoj Nechvalice 	7 : 5	 Srdcia východu
Mistři teorie 	10 : 7	 Vakoveverky
FC Perros  	0 : 3	 Heveraboys
AC Gong CB 	6 : 0	 Tvoje máma
LF2MED 	1 : 4	 Peleho vnuci
Peleho vnuci   	3 : 3	 Zhubni
FK Traktor Vidlákov 	8 : 2	 TJ SIGMA Rodeo
Mistři teorie 	8 : 2	 Real z Wishe
AC Milan 	3 : 2	 FC Žízeň
FC Výpitci Kroměříž 	9 : 1	 Ostré kulky
Garfield Lasang 	6 : 10	 Peleho vnuci
Sedlčanská Náplavka 	1 : 3	 Tralalalala
Dutošvarcova korporace 	4 : 8	 TJ Rapid Příkopy Muži
FC Alcoholtea 	3 : 9	 Poznamenaní
FC BigHub 	7 : 4	 Podlitiny
FC Perros  	4 : 9	 JOGA BONITO
PH Maséři Milevsko 	8 : 8	 TJ Rapid Příkopy Muži
Pivopij 	6 : 10	 TJ SIGMA Rodeo
Tralalalala 	0 : 6	 Velký špatný
AC Sons of Anarchy 	10 : 3	 Poznamenaní
FC Žízeň 	3 : 9	 Čápi
Mistři teorie 	2 : 10	 TJ Rapid Příkopy Muži
Velký špatný 	1 : 2	 Zabijáci žraloků
FC Brambor City 	2 : 8	 Real z Wishe
FC Brambor City 	5 : 3	 Sedlčanská Náplavka
AC Sons of Anarchy 	10 : 7	 Enzo Absinthens
Dutošvarcova korporace 	1 : 0	 Mistři teorie
FC Perros  	6 : 6	 tým je mlýn
Ostré kulky 	1 : 0	 Usála Mi Úd
FK Traktor Vidlákov 	10 : 0	 Podlitiny
AC Milan 	4 : 4	 Dopravka United
BrichtaBOMBY 	3 : 0	 tým je mlýn
FK Traktor Vidlákov 	3 : 10	 LF2MED
BrichtaBOMBY 	3 : 3	 JOGA BONITO
FC Snědá Tíseň 	10 : 6	 SK Lab Rats
