Jaderný odpad 	 0 : 10 	 Pod vlivem
Kriplovi hoši 	 0 : 20 	 Pod vlivem
FC Perros  	 0 : 6 	 Kriplovi hoši
Heveraboys 	 0 : 6 	 Pivopij
Jaderný odpad 	 0 : 7 	 Trblblblblb
FC Kouř a Pivo 	 1 : 0 	 Slabá vůle
PH Maséři Milevsko 	 1 : 2 	 Usála Mi Úd
TJ SIGMA Rodeo 	 1 : 2 	 inSane Tuberculosis
Sojka Velešín 	 1 : 3 	 Čápi
Čápi 	 1 : 3 	 Šlehaný jahody
PH Maséři Milevsko 	 1 : 4 	 Usála Mi Úd
Pivopij 	 1 : 4 	 Psi
Sojka Velešín 	 1 : 4 	 Šlehaný jahody
AC Gong CB 	 1 : 5 	 Peleho vnuci
FC Žízeň 	 1 : 5 	 SK Piškopinky
Dopravka United 	 1 : 9 	 FC Litrpůl
Kriplovi hoši 	 10 : 0 	 Trblblblblb
JBC  team B 	 10 : 1 	 Podlitiny
Dopravka United 	 10 : 4 	 JBC team STrahov
Ostré kulky 	 10 : 5 	 Rychlá smrt
Dopravka United 	 12 : 2 	 JBC  team B
FC Perros  	 13 : 2 	 Jaderný odpad
JBC  team B 	 16 : 4 	 JBC team STrahov
Jaderný odpad 	 17 : 0 	 Newton Club
Jaderný odpad 	 18 : 0 	 Zabijáci žraloků
FC Žízeň 	 2 : 1 	 Tvoje máma
FC Výpitci Kroměříž 	 2 : 11 	 Lestkov team
Dopravka United 	 2 : 17 	 Pozdní sběr
Dutošvarcova korporace 	 2 : 2 	 FC Alcoholtea
FC Alcoholtea 	 2 : 2 	 Majklovi Svině
Newton Club 	 2 : 2 	 Trblblblblb
PH Maséři Milevsko 	 2 : 2 	 Tvoje máma
FC Alcoholtea 	 2 : 3 	 Šlehaný jahody
FC Výpitci Kroměříž 	 2 : 3 	 FC Žízeň
AC Gong CB 	 2 : 4 	 Dřevouk
FC Kouř a Pivo 	 2 : 4 	 TJ SIGMA Rodeo
FC Alcoholtea 	 2 : 5 	 Čápi
FC Alcoholtea 	 2 : 6 	 Sojka Velešín
FC Bubeneč 	 2 : 6 	 FC Exekutoři
LF2MED 	 2 : 6 	 Mámin Hemeroid
Tvoje máma 	 2 : 6 	 Usála Mi Úd
Dutošvarcova korporace 	 2 : 7 	 Sojka Velešín
FC Kouř a Pivo 	 2 : 7 	 inSane Tuberculosis
AC Gong CB 	 2 : 9 	 FC Exekutoři
Dutošvarcova korporace 	 2 : 9 	 FC AuTiSTe
FC Bubeneč 	 2 : 9 	 Peleho vnuci
Kriplovi hoši 	 24 : 1 	 Newton Club
Kriplovi hoši 	 25 : 0 	 Zabijáci žraloků
AC Gong CB 	 3 : 1 	 FC Bubeneč
PH Maséři Milevsko 	 3 : 1 	 SK Piškopinky
Dopravka United 	 3 : 12 	 SK Ovados C
Podlitiny 	 3 : 12 	 Pozdní sběr
Dutošvarcova korporace 	 3 : 2 	 Šlehaný jahody
