LF2MED 	 0 : 10 	 SK Piškopinky
Enzo Absinthens 	 0 : 15 	 Tucet Špinavců
Peleho vnuci   	 0 : 2 	 Trblblblblb
FC Perros  	 0 : 20 	 Jaderný odpad
Kriplovi hoši 	 0 : 23 	 Zhubni
Jaderný odpad 	 0 : 3 	 Kriplovi hoši
Jaderný odpad 	 0 : 30 	 Zhubni
FC Výpitci Kroměříž 	 0 : 4 	 FC Žízeň
Pod vlivem 	 0 : 5 	 SK Ovados C
FC BigHub 	 0 : 6 	 SK Piškopinky
Pod vlivem 	 0 : 7 	 Zabijáci žraloků
FC Alcoholtea 	 0 : 8 	 TJ Rapid Příkopy Muži
FC Bubeneč 	 0 : 8 	 TJ SIGMA Rodeo
Dutošvarcova korporace 	 1 : 1 	 Pod vlivem
TJ Rapid Příkopy Muži 	 1 : 12 	 Zhubni
FC Alcoholtea 	 1 : 2 	 Zhubni
TJ Rapid Příkopy Muži 	 1 : 2 	 Trblblblblb
FC Alcoholtea 	 1 : 24 	 Kriplovi hoši
FC Perros  	 1 : 3 	 Trblblblblb
AC Gong CB 	 1 : 5 	 Psi
FC Bubeneč 	 1 : 5 	 FC Litrpůl
Podlitiny 	 1 : 5 	 Psi
Sojka Velešín 	 1 : 5 	 Vakoveverky
Dopravka United 	 1 : 6 	 FC Pikadoři
FC Žízeň 	 1 : 6 	 Heveraboys
JBC  team B 	 1 : 6 	 SK Piškopinky
LF2MED 	 1 : 7 	 Real z Wishe
Zabijáci žraloků 	 1 : 8 	 Zhubni
Enzo Absinthens 	 10 : 1 	 Vraňare
FC Perros  	 10 : 1 	 SK Ovados C
Real z Wishe 	 10 : 1 	 SK Piškopinky
Cortina extermina 	 10 : 2 	 FC Litrpůl
Enzo Absinthens 	 10 : 3 	 Tucet Špinavců
FC Alcoholtea 	 11 : 1 	 Jaderný odpad
Heveraboys 	 11 : 2 	 Real z Wishe
Mistři teorie 	 11 : 8 	 Čápi
Kriplovi hoši 	 13 : 1 	 Trblblblblb
Kriplovi hoši 	 13 : 2 	 TJ Rapid Příkopy Muži
AC Sons of Anarchy 	 14 : 5 	 SK Piškopinky
AC Sons of Anarchy 	 18 : 1 	 Heveraboys
Cortina extermina 	 2 : 1 	 Newton Club
Enzo Absinthens 	 2 : 1 	 SK Mládský Pušky
FC Žízeň 	 2 : 1 	 Ostré kulky
Kriplovi hoši 	 2 : 17 	 Peleho vnuci
AC Gong CB 	 2 : 2 	 FC Žízeň
FC Bubeneč 	 2 : 2 	 Velký špatný
FC Perros  	 2 : 2 	 TJ Rapid Příkopy Muži
FC Perros  	 2 : 2 	 Zhubni
PH Maséři Milevsko 	 2 : 2 	 Pocemkamdeš
FC Výpitci Kroměříž 	 2 : 3 	 Podlitiny
Podlitiny 	 2 : 3 	 Tvoje máma
AC Gong CB 	 2 : 5 	 Tvoje máma
FC Alcoholtea 	 2 : 5 	 FC Perros
FC Kouř a Pivo 	 2 : 6 	 K.A.M.-božští psi
FC Bubeneč 	 2 : 7 	 Čápi
Pivopij 	 2 : 7 	 Rumové víly
PH Maséři Milevsko 	 2 : 8 	 Slabá vůle
Dutošvarcova korporace 	 2 : 9 	 SK Ovados C
Jaderný odpad 	 20 : 0 	 Peleho vnuci
FC Perros  	 3 : 15 	 Kriplovi hoši
AC Gong CB 	 3 : 2 	 Psi
FC Výpitci Kroměříž 	 3 : 2 	 Ostré kulky
Ostré kulky 	 3 : 2 	 Usála Mi Úd
FC Bubeneč 	 3 : 3 	 TJ SIGMA Rodeo
FC Žízeň 	 3 : 3 	 Tvoje máma
Mistři teorie 	 3 : 3 	 inSane Tuberculosis
Peleho vnuci   	 3 : 3 	 Zhubni
Cortina extermina 	 3 : 4 	 FC Pikadoři
Cortina extermina 	 3 : 4 	 Velký špatný
Newton Club 	 3 : 4 	 Velký špatný
TJ SIGMA Rodeo 	 3 : 4 	 Velký špatný
FC BigHub 	 3 : 5 	 LF2MED
FC Výpitci Kroměříž 	 3 : 5 	 Tvoje máma
FC Výpitci Kroměříž 	 3 : 5 	 Usála Mi Úd
FC Alcoholtea 	 3 : 6 	 Peleho vnuci
FC Bubeneč 	 3 : 6 	 FC Pikadoři
FC Žízeň 	 3 : 6 	 Psi
Cortina extermina 	 3 : 7 	 Dopravka United
FC Výpitci Kroměříž 	 3 : 7 	 SK Piškopinky
Pivopij 	 3 : 7 	 Sedm tisíc dongů
Dopravka United 	 4 : 1 	 Newton Club
Dopravka United 	 4 : 1 	 TJ SIGMA Rodeo
Newton Club 	 4 : 1 	 TJ SIGMA Rodeo
FC Kouř a Pivo 	 4 : 2 	 Mámin Hemeroid
Ostré kulky 	 4 : 2 	 Tvoje máma
Dopravka United 	 4 : 3 	 FC Litrpůl
FC Kouř a Pivo 	 4 : 3 	 SK Mládský Pušky
FC Kouř a Pivo 	 4 : 3 	 Vraňare
Tralalalala 	 4 : 3 	 Vakoveverky
FC Alcoholtea 	 4 : 4 	 Trblblblblb
Mistři teorie 	 4 : 6 	 Velký špatný
Dopravka United 	 4 : 7 	 Velký špatný
Sojka Velešín 	 4 : 8 	 The Gamblers
Trblblblblb 	 4 : 8 	 Zhubni
AC Gong CB 	 5 : 1 	 Lestkov team
Dutošvarcova korporace 	 5 : 1 	 Fimotici
Dutošvarcova korporace 	 5 : 1 	 Nosiči ryb
Dutošvarcova korporace 	 5 : 1 	 Pozdní sběr
FC BigHub 	 5 : 1 	 Heveraboys
